Date,Amount,Type,Raw_Description
2026-08-01,5000000,Credit,PAYROLL PT MAJU BERSAMA
2026-08-02,25000,Debit,QRIS KOPI HOJA
2026-08-03,150000,Debit,PAYMENT PLN TOKEN
2026-08-04,18000,Debit,TRF KANTIN RAYA
2026-08-05,54900,Debit,SPOTIFY PREMIUM
2026-08-07,350000,Debit,TIKET KERETA KAI KAI-8921X
2026-08-08,22000,Debit,QRIS WAROENK PENGKOLAN
2026-08-10,150000,Debit,TOPUP GOPAY
2026-08-12,45000,Debit,GRABUNLIMITED SUB
2026-08-15,12500,Debit,TRF BORJO MURNI
2026-08-16,320000,Debit,SHOPEE PAY INV-9912
2026-08-18,30000,Debit,QRIS KANCANE COFFEE
2026-08-20,75000,Debit,EVERYDAY LAUNDRY
2026-08-22,120000,Debit,ORANGE CARWASH
2026-08-25,50000,Debit,WD ATM MANDIRI
